,,,,,,,,,,,,
,234,,,,,,,0,,0,,4234
,,,,,,,,,,,,
,informe,,,,,,,,,,,
sucursal,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
id,nombre,dirección,ubicacion,data.q,bin,data,encargado,,,,,
1,Sucursal Moda Central,1234 Main St.,América/Estados Unidos/Nueva York,,,,John Doe,,,,,
,,,,,,000xx0x0,,,,,,
,,,,545222254,,000xx0x0,,,,,,
,,,,2.45E+17,,,,,,,,
,,,,,000xx0x0,,,,,,,
,,,,,,,,,,,,
2,Sucursal Fashion Oeste,5678 Elm St.,América/Estados Unidos/Los Ángeles,,,,Jane Smith,,,,,
3,Sucursal Chic Norte,9101 Pine St.,América/Canadá/Toronto,,,,Michael Brown,,,,,
4,Sucursal Estilo Este,2345 Maple Ave.,América/Canadá/Vancouver,,,,Emily Davis,,,,,
5,Sucursal Trendy Sur,6789 Oak St.,América/México/Ciudad de México,,,,Juan Pérez,,,,,
6,Sucursal Glamour Centro,3456 Cedar St.,América/México/Guadalajara,,,,Ana Martínez,,,,,
7,Sucursal Elegante Norte,7890 Birch Rd.,Europa/España/Madrid,,,000xx0x0,Carlos García,,,,,
8,Sucursal Clásica Sur,123 Apple St.,Europa/España/Barcelona,,,000xx0x0,María López,,,,,
9,Sucursal Moderna Este,456 Pear St.,Europa/Francia/París,,,000xx0x0,Jean Dupont,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
10,Sucursal Vanguardista Oeste,789 Banana St.,Europa/Francia/Lyon,,,,Claire Dubois,,,,,
,,,,,,,,,,,,
11,Sucursal Urbana Norte,101 Pine St.,Asia/Japón/Tokio,,,,Hiroshi Tanaka,,,,,
12,Sucursal Cosmopolita Sur,234 Maple Ave.,Asia/Japón/Osaka,,,,Yuki Nakamura,,,,,
13,Sucursal Exótica Este,567 Oak St.,Asia/China/Beijing,,,,Li Wei,,,,,
14,Sucursal Tradicional Oeste,890 Cedar St.,Asia/China/Shanghai,,,,Wang Fang,,,,,
15,Sucursal Contemporánea Norte,345 Birch Rd.,Oceanía/Australia/Sídney,,,,James Wilson,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
16,Sucursal Sofisticada Sur,678 Apple St.,Oceanía/Australia/Melbourne,,,,Sarah Johnson,,,,,
17,Sucursal Exclusiva Este,901 Pear St.,África/Sudáfrica/Ciudad del Cabo,,,,Thabo Ndlovu,,,,,
18,Sucursal Original Oeste,234 Banana St.,África/Sudáfrica/Johannesburgo,,,,Nomsa Mokoena,,,,,
19,Sucursal Vibrante Norte,567 Pine St.,América/Estados Unidos/Chicago,,,,David Williams,,,,,
20,Sucursal Dinámica Sur,890 Maple Ave.,América/Estados Unidos/Houston,,,,Emily Martinez,,,,,
21,Sucursal Chic Urbana Este,345 Oak St.,América/Canadá/Montreal,,,,Daniel Lee,,,,,
22,Sucursal Estilo Vanguardista Oeste,678 Cedar St.,América/Canadá/Ottawa,,,,Olivia Kim,,,,,
23,Sucursal Elegancia Norte,901 Birch Rd.,América/México/Monterrey,000xx0x0,,,Luis Hernández,,,,,
24,Sucursal Estilo Urbano Sur,234 Apple St.,América/México/Tijuana,,,,Andrea Ramírez,,,,,
25,Sucursal Clásico Moderno Este,567 Pear St.,Europa/España/Sevilla,000xx0x0,,,Santiago Torres,,,,,
26,Sucursal Moda Vanguardista Oeste,890 Banana St.,Europa/España/Valencia,000xx0x0,,,Lucía Sánchez,,,,,
27,Sucursal Fashion Chic Norte,345 Pine St.,Europa/Francia/Marseille,,,,Nicolas Bernard,,,,,
28,Sucursal Urbana Sofisticada Sur,678 Maple Ave.,Europa/Francia/Toulouse,,,,Isabelle Martin,,,,,
29,Sucursal Exótico Contemporáneo Este,901 Oak St.,Asia/Japón/Yokohama,,,,Taro Suzuki,,,,,
30,Sucursal Moderno Tradicional Oeste,234 Cedar St.,Asia/Japón/Kyoto,,,,Haruka Sato,,,,,
31,Sucursal Estilo Cosmopolita Norte,567 Birch Rd.,Asia/China/Guangzhou,,,,Chen Ling,,,,,
32,Sucursal Chic Contemporáneo Sur,890 Apple St.,Asia/China/Shenzhen,,,,Sun Mei,,,,,
33,Sucursal Moda Sofisticada Este,345 Pear St.,Oceanía/Australia/Brisbane,,,,Benjamin Harris,,,,,
34,Sucursal Vanguardista Original Oeste,678 Banana St.,Oceanía/Australia/Perth,,,,Charlotte Evans,,,,,
35,Sucursal Estilo Exótico Norte,901 Pine St.,África/Sudáfrica/Durban,,,,Mandla Dlamini,,,,,
36,Sucursal Cosmopolita Exclusiva Sur,234 Maple Ave.,África/Sudáfrica/Pretoria,,,,Thandi Zuma,,,,,
37,Sucursal Moderna Dinámica Este,567 Oak St.,América/Estados Unidos/Atlanta,,,,Joseph Anderson,,,,,
38,Sucursal Chic Estilo Oeste,890 Cedar St.,América/Estados Unidos/San Francisco,,,,Laura Thomas,,,,,
39,Sucursal Elegancia Urbana Norte,345 Birch Rd.,América/Canadá/Calgary,,,,Matthew Scott,,,,,
40,Sucursal Estilo Clásico Sur,678 Apple St.,América/Canadá/Edmonton,,,,Samantha White,,,,,
41,Sucursal Urbana Tradicional Este,901 Pear St.,América/México/Cancún,,,,Fernando González,,,,,
,,,,,,,,,,,,
42,Sucursal Vanguardista Chic Oeste,234 Banana St.,América/México/Mérida,,,,Paola Ortiz,,,,,
43,Sucursal Estilo Contemporáneo Norte,567 Pine St.,Europa/España/Málaga,,,,Rafael Fernández,,,,,
44,Sucursal Clásica Moderna Sur,890 Maple Ave.,Europa/España/Zaragoza,,,,Alejandro Ruiz,,,,,
45,Sucursal Fashion Exótica Este,345 Oak St.,Europa/Francia/Nice,,,,Juliette Laurent,,,,,
46,Sucursal Sofisticada Dinámica Oeste,678 Cedar St.,Europa/Francia/Nantes,,,,Antoine Petit,,,,,
47,Sucursal Exclusiva Urbana Norte,901 Birch Rd.,Asia/Japón/Sapporo,,,,Makoto Yamamoto,,,,,
,,,,,,,,,,,,
48,Sucursal Original Chic Sur,234 Apple St.,Asia/Japón/Hiroshima,,,,Naoko Mori,,,,,
49,Sucursal Estilo Cosmopolita Este,567 Pear St.,Asia/China/Tianjin,,,,Zhang Hong,,,,,
50,Sucursal Moderna Elegancia Oeste,890 Banana St.,Asia/China/Chongqing,,,,Zhao Hui,,,,,
